Gene.names	RBC	Plasma	Matrisome.1	Matrisome.2	Matrisome.3	Plasma.1	Subcellular.location..CC.
SLC25A11	NA	NA	NA	NA	NA	NA	Mitochondrion inner membrane
MIF	RBC	NA	NA	NA	NA	NA	Secreted
TNKS	NA	NA	NA	NA	NA	NA	Cytoplasm
POLR1E	NA	NA	NA	NA	NA	NA	Nucleus
KCNA6	NA	NA	NA	NA	NA	NA	Cell membrane
MACROD2	NA	NA	NA	NA	NA	NA	Nucleus
GFOD1	NA	NA	NA	NA	NA	NA	Secreted
CIDEA	NA	NA	NA	NA	NA	NA	Lipid droplet Nucleus Note=Enriched at lipid droplet contact sites Using a GFP-tagged construct
AZGP1	RBC	Plasma	NA	NA	NA	pi	Secreted
COMMD9	NA	NA	NA	NA	NA	NA	Nucleus
CLPS	NA	NA	NA	NA	NA	NA	Secreted
RBMX	NA	NA	NA	NA	NA	NA	Nucleus Note=Localizes in numerous small granules in the nucleus (By similarity) Component of ribonucleosomes
GRB10	NA	NA	NA	NA	NA	NA	Cytoplasm
SNPH	NA	NA	NA	NA	NA	NA	Membrane
MYMK	NA	NA	NA	NA	NA	NA	Cell membrane
SIVA1	NA	NA	NA	NA	NA	NA	Cytoplasm Nucleus
PLPP2	NA	NA	NA	NA	NA	NA	Membrane
ADNP	NA	NA	NA	NA	NA	NA	Nucleus
FGF20	NA	NA	Matrisome-associated	Secreted Factors	Signalling	NA	Secreted
MOAP1	NA	NA	NA	NA	NA	NA	NA
RAB33A	NA	NA	NA	NA	NA	NA	Cell membrane
NEFH	NA	NA	NA	NA	NA	NA	Cytoplasm
ARL4A	NA	NA	NA	NA	NA	NA	Cell membrane
RTCB	NA	NA	NA	NA	NA	NA	Nucleus
EWSR1	NA	NA	NA	NA	NA	NA	Nucleus
TRIM44	NA	NA	NA	NA	NA	NA	NA
KRT6B	NA	NA	NA	NA	NA	NA	NA
KRT6C	NA	NA	NA	NA	NA	NA	NA
SLC28A3	NA	NA	NA	NA	NA	NA	Membrane
ARHGEF40	NA	NA	NA	NA	NA	NA	Cytoplasm
EEPD1	NA	NA	NA	NA	NA	NA	NA
MCM5	NA	NA	NA	NA	NA	NA	Nucleus
LONRF1	NA	NA	NA	NA	NA	NA	NA
RAB11FIP2	NA	NA	NA	NA	NA	NA	Cell membrane
SYT12	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle
TEAD4	NA	NA	NA	NA	NA	NA	Nucleus
HIRA	NA	NA	NA	NA	NA	NA	Nucleus
AGTR2	NA	NA	NA	NA	NA	NA	Cell membrane
CARMIL1	NA	NA	NA	NA	NA	NA	Cytoplasm
TMPRSS2	NA	NA	NA	NA	Protease	NA	Cell membrane
CDCA7L	NA	NA	NA	NA	NA	NA	Cytoplasm
C1QTNF9B	NA	NA	Matrisome-associated	ECM-affiliated Proteins	comp	comp	Secreted
BMPER	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
TFAM	NA	NA	NA	NA	NA	NA	Mitochondrion
BIVM-ERCC5	NA	NA	NA	NA	NA	NA	Cytoplasm
BIVM	NA	NA	NA	NA	NA	NA	Cytoplasm
TM9SF4	NA	NA	NA	NA	NA	NA	Membrane
SF3A1	NA	NA	NA	NA	NA	NA	Nucleus
PEX3	NA	NA	NA	NA	NA	NA	Peroxisome membrane
UBE2A	NA	NA	NA	NA	NA	NA	NA
WBP1L	NA	NA	NA	NA	NA	NA	Membrane
CDS2	RBC	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
SFXN2	NA	NA	NA	NA	NA	NA	Mitochondrion membrane
APEX2	NA	NA	NA	NA	NA	NA	Nucleus Cytoplasm Mitochondrion
ATP8B1	NA	NA	NA	NA	NA	NA	Cell membrane
CD40	NA	NA	NA	NA	NA	NA	Cell membrane
RABEP1	NA	NA	NA	NA	NA	NA	Cytoplasm
RASSF2	NA	NA	NA	NA	NA	NA	Nucleus
DAPP1	NA	NA	NA	NA	NA	NA	Cytoplasm
SMARCB1	NA	NA	NA	NA	NA	NA	Nucleus
MIEN1	NA	NA	NA	NA	NA	NA	Cytoplasm
COMTD1	NA	NA	NA	NA	NA	NA	Membrane
LAMP2	NA	NA	NA	NA	NA	NA	Cell membrane
MIEF1	NA	NA	NA	NA	NA	NA	Mitochondrion outer membrane
ARHGAP12	NA	NA	NA	NA	NA	NA	NA
CRISP2	NA	NA	NA	NA	NA	NA	Secreted
LZTS1	NA	NA	NA	NA	NA	NA	Cytoplasm
BNIP2	NA	NA	NA	NA	NA	NA	Cytoplasm
KDM4D	NA	NA	NA	NA	NA	NA	Nucleus
DCAF11	NA	NA	NA	NA	NA	NA	NA
CYCS	RBC	Plasma	NA	NA	NA	mito	Mitochondrion intermembrane space Note=Loosely associated with the inner membrane
CASK	NA	NA	NA	NA	NA	NA	Nucleus
DNAJC3	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum
SNX30	NA	NA	NA	NA	NA	NA	NA
OLFML2A	NA	NA	NA	NA	NA	NA	Secreted
RASEF	NA	NA	NA	NA	NA	NA	Cytoplasm
SOD1	RBC	Plasma	NA	NA	NA	redox	Cytoplasm
CYP11A1	NA	NA	NA	NA	NA	NA	Mitochondrion inner membrane
RNF169	NA	NA	NA	NA	NA	NA	Nucleus
HOXC11	NA	NA	NA	NA	NA	NA	Nucleus
ACE2	NA	NA	NA	NA	Protease	NA	Secreted
ADSL	RBC	NA	NA	NA	NA	NA	NA
ASXL3	NA	NA	NA	NA	NA	NA	Nucleus
PFKM	RBC	NA	NA	NA	NA	NA	Cytoplasm
CCDC33	NA	NA	NA	NA	NA	NA	NA
DOCK11	NA	NA	NA	NA	NA	NA	NA
NALF1	NA	NA	NA	NA	NA	NA	Membrane
SMAD7	NA	NA	NA	NA	NA	NA	Nucleus
PPP1R26	NA	NA	NA	NA	NA	NA	Nucleus
NFS1	NA	NA	NA	NA	NA	NA	Mitochondrion
ISCA1	NA	NA	NA	NA	NA	NA	Mitochondrion
ARL11	NA	NA	NA	NA	NA	NA	NA
BTRC	NA	NA	NA	NA	NA	NA	Cytoplasm
SLA2	NA	NA	NA	NA	NA	NA	Cytoplasm Cell membrane Cytoplasmic vesicle Late endosome Note=Localized to the plasma membrane and intracellular vesicles
SLC47A1	NA	NA	NA	NA	NA	NA	Cell membrane
CMTM5	NA	NA	NA	NA	NA	NA	Membrane
ENTPD8	NA	NA	NA	NA	NA	NA	Cell membrane
FRMD8	NA	NA	NA	NA	NA	NA	Cytoplasm
ELMOD1	NA	NA	NA	NA	NA	NA	NA
TRMU	NA	NA	NA	NA	NA	NA	Mitochondrion
OSBPL1A	NA	NA	NA	NA	NA	NA	Late endosome
ADH1B	NA	NA	NA	NA	NA	NA	Cytoplasm
ADH1C	NA	NA	NA	NA	NA	NA	Cytoplasm
ADH1A	NA	NA	NA	NA	NA	NA	Cytoplasm
CSNK2A3	RBC	NA	NA	NA	NA	NA	Nucleus
CSNK2A1	RBC	NA	NA	NA	NA	NA	Nucleus
SDF2L1	RBC	NA	NA	NA	NA	NA	Endoplasmic reticulum lumen
CDKL2	NA	NA	NA	NA	NA	NA	Cytoplasm
PIM1	NA	NA	NA	NA	NA	NA	Cytoplasm
N4BP2L1	NA	NA	NA	NA	NA	NA	NA
KLHL22	NA	NA	NA	NA	NA	NA	Cytoplasm
PLA2G4D	NA	NA	NA	NA	NA	NA	Cytoplasm
TCN2	NA	Plasma	NA	NA	NA	NA	Secreted
IFT140	NA	NA	NA	NA	NA	NA	Cytoplasm
TMC5	NA	NA	NA	NA	NA	NA	Membrane
ASL	NA	NA	NA	NA	NA	NA	NA
AQR	NA	NA	NA	NA	NA	NA	Nucleus
GRM4	NA	NA	NA	NA	NA	NA	Cell membrane
TNC	NA	Plasma	Core matrisome	ECM Glycoproteins	Matricellular	NA	Secreted
NAPG	RBC	NA	NA	NA	NA	NA	Membrane
EIF2B2	NA	NA	NA	NA	NA	NA	NA
FBXL20	NA	NA	NA	NA	NA	NA	Cytoplasm
NXN	NA	NA	NA	NA	NA	NA	Cytoplasm
NKX1-2	NA	NA	NA	NA	NA	NA	Nucleus
PPCDC	NA	NA	NA	NA	NA	NA	NA
NUDT15	NA	NA	NA	NA	NA	NA	NA
AIFM1	NA	NA	NA	NA	NA	NA	Mitochondrion intermembrane space
TESMIN	NA	NA	NA	NA	NA	NA	Cytoplasm
TJAP1	NA	NA	NA	NA	NA	NA	Golgi apparatus
CAGE1	NA	NA	NA	NA	NA	NA	NA
RAB9B	NA	NA	NA	NA	NA	NA	Cell membrane
HMBOX1	NA	NA	NA	NA	NA	NA	Nucleus
MKX	NA	NA	NA	NA	NA	NA	Nucleus
DMRT3	NA	NA	NA	NA	NA	NA	Nucleus
FGG	RBC	Plasma	Core matrisome	ECM Glycoproteins	Structural ECM	caog	Secreted
RNASE1	NA	NA	NA	NA	NA	NA	Secreted
MC5R	NA	NA	NA	NA	NA	NA	Cell membrane
HNRNPD	NA	NA	NA	NA	NA	NA	Nucleus
P4HA3	NA	NA	Matrisome-associated	ECM Regulators	ECM PTM Modifier	NA	Endoplasmic reticulum lumen
ZDHHC8	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
PGP	RBC	NA	NA	NA	NA	NA	NA
ATG16L2	NA	NA	NA	NA	NA	NA	Cytoplasm
PLXDC2	NA	Plasma	Matrisome-associated	ECM-affiliated Proteins	NA	NA	Membrane
CCL1	NA	Plasma	Matrisome-associated	Secreted Factors	signalling	signalling	Secreted
COL17A1	NA	NA	Core matrisome	Collagens	Membrane Collagen	NA	Cell junction
FXYD2	NA	NA	NA	NA	NA	NA	Membrane
FXYD6-FXYD2	NA	NA	NA	NA	NA	NA	Membrane
FAM13C	NA	NA	NA	NA	NA	NA	NA
CACNA1F	NA	NA	NA	NA	NA	NA	Membrane
GDI1	RBC	NA	NA	NA	NA	NA	Cytoplasm
DPYSL2	RBC	NA	NA	NA	NA	NA	Cytoplasm
GGNBP2	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle
SEMA7A	NA	NA	Matrisome-associated	ECM-affiliated Proteins	Signalling	NA	Cell membrane
TYMS	NA	NA	NA	NA	NA	NA	Nucleus
SPAG6	NA	NA	NA	NA	NA	NA	Cytoplasm
TPMT	NA	NA	NA	NA	NA	NA	Cytoplasm
PNPLA8	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
CRELD2	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Endoplasmic reticulum
RUNX2	NA	NA	NA	NA	NA	NA	Nucleus
ZSWIM1	NA	NA	NA	NA	NA	NA	NA
SLITRK1	NA	NA	NA	NA	NA	NA	Membrane
CCIN	NA	NA	NA	NA	NA	NA	Cytoplasm
KLRD1	NA	NA	NA	NA	NA	NA	Cell membrane
RCBTB2	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle
TBC1D9	NA	NA	NA	NA	NA	NA	NA
TTC5	NA	NA	NA	NA	NA	NA	Nucleus
ALDH1A2	NA	NA	NA	NA	NA	NA	Cytoplasm
TMEM255B	NA	NA	NA	NA	NA	NA	Membrane
GLYATL3	NA	NA	NA	NA	NA	NA	NA
LRBA	RBC	NA	NA	NA	NA	NA	Cell membrane
KCNK13	NA	NA	NA	NA	NA	NA	Membrane
HACE1	RBC	NA	NA	NA	NA	NA	Golgi apparatus
PCSK5	NA	NA	Matrisome-associated	ECM Regulators	Protease	NA	Secreted Note=Secreted through the regulated secretory pathway
NPY5R	NA	NA	NA	NA	NA	NA	Cell membrane
EDRF1	NA	NA	NA	NA	NA	NA	Nucleus
CSE1L	NA	NA	NA	NA	NA	NA	Cytoplasm
LTB4R2	NA	NA	NA	NA	NA	NA	Cell membrane
FKBP10	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum lumen
NLK	NA	NA	NA	NA	NA	NA	Nucleus Cytoplasm Note=Predominantly nuclear A smaller fraction is cytoplasmic
HASPIN	NA	NA	NA	NA	NA	NA	Nucleus
CENPQ	NA	NA	NA	NA	NA	NA	Nucleus
RNASE9	NA	NA	NA	NA	NA	NA	Secreted
PDLIM1	RBC	NA	NA	NA	NA	NA	Cytoplasm
PIK3C3	NA	NA	NA	NA	NA	NA	Midbody
ANKIB1	NA	NA	NA	NA	NA	NA	NA
ZFPL1	NA	NA	NA	NA	NA	NA	Golgi apparatus
CBR4	NA	NA	NA	NA	NA	NA	Mitochondrion matrix
SLC24A3	NA	NA	NA	NA	NA	NA	Membrane
NELL1	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Cytoplasm
SIRPB1	NA	NA	NA	NA	NA	NA	Membrane
SIRPA	NA	NA	NA	NA	NA	NA	Membrane
SSR4	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
RNASE4	NA	Plasma	NA	NA	NA	NA	Secreted
PPP2R2A	NA	NA	NA	NA	NA	NA	Cytoplasm
FAM204A	NA	NA	NA	NA	NA	NA	NA
VPS18	NA	NA	NA	NA	NA	NA	Late endosome membrane
NPTXR	NA	NA	NA	NA	NA	NA	Membrane
PDGFRA	NA	NA	NA	NA	NA	NA	Cell membrane
UBL4A	NA	NA	NA	NA	NA	NA	Cytoplasm
TXNL4A	NA	NA	NA	NA	NA	NA	Nucleus
POLA2	NA	NA	NA	NA	NA	NA	Nucleus
EIF6	RBC	NA	NA	NA	NA	NA	Cytoplasm Nucleus
TLR4	NA	NA	NA	NA	NA	NA	Cell membrane
ARHGDIG	NA	NA	NA	NA	NA	NA	Cytoplasm
PGAM1	RBC	NA	NA	NA	NA	NA	NA
RTEL1-TNFRSF6B	NA	NA	NA	NA	NA	NA	Nucleus
GAL	NA	NA	NA	NA	NA	NA	Secreted
COPS2	RBC	NA	NA	NA	NA	NA	Cytoplasm
DENND10	NA	NA	NA	NA	NA	NA	Late endosome
RNLS	NA	NA	NA	NA	NA	NA	Secreted
PDCL	NA	NA	NA	NA	NA	NA	Cell projection
EPDR1	NA	NA	NA	NA	NA	NA	Lysosome lumen
APBA1	NA	NA	NA	NA	NA	NA	Cytoplasm
BAIAP2L2	NA	NA	NA	NA	NA	NA	Cell membrane
IQSEC2	NA	NA	NA	NA	NA	NA	Cytoplasm
CDK9	NA	NA	NA	NA	NA	NA	Nucleus
ITCH	NA	NA	NA	NA	NA	NA	Cell membrane
GYS2	NA	NA	NA	NA	NA	NA	NA
VPS16	NA	NA	NA	NA	NA	NA	Late endosome membrane
RBP3	NA	NA	NA	NA	NA	NA	Secreted
IRS2	NA	NA	NA	NA	NA	NA	Cytoplasm
LDLRAD3	NA	NA	NA	NA	NA	NA	Cell membrane
ZC2HC1C	NA	NA	NA	NA	NA	NA	NA
VAPA	RBC	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
FHOD3	NA	NA	NA	NA	NA	NA	Cytoplasm
TTC16	NA	NA	NA	NA	NA	NA	NA
PLA2G4E	NA	NA	NA	NA	NA	NA	Cytoplasm
SPESP1	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle
SPON1	NA	NA	Core matrisome	ECM Glycoproteins	Matricellular	NA	Secreted
SLC10A4	NA	NA	NA	NA	NA	NA	Cell membrane
F7	NA	Plasma	Matrisome-associated	ECM Regulators	Protease	coag	Secreted
CREB5	NA	NA	NA	NA	NA	NA	Nucleus
EPB41L1	NA	NA	NA	NA	NA	RBC	Cytoplasm
TAFAZZIN	NA	NA	NA	NA	NA	NA	Mitochondrion outer membrane
ABRACL	NA	NA	NA	NA	NA	NA	NA
MYH7	NA	NA	NA	NA	NA	NA	Cytoplasm
PGM3	RBC	NA	NA	NA	NA	NA	NA
TRPC4	NA	NA	NA	NA	NA	NA	Membrane
ATP9B	NA	NA	NA	NA	NA	NA	Golgi apparatus
LZTS3	NA	NA	NA	NA	NA	NA	Cell junction
GET4	NA	NA	NA	NA	NA	NA	Cytoplasm
EML1	NA	NA	NA	NA	NA	NA	Cytoplasm
HOXB9	NA	NA	NA	NA	NA	NA	Nucleus
NPSR1	NA	NA	NA	NA	NA	NA	Cell membrane
HGF	NA	NA	Matrisome-associated	Secreted Factors	Signalling	NA	NA
SNX21	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle membrane
OLIG2	NA	NA	NA	NA	NA	NA	Nucleus Cytoplasm Note=The NLS contained in the bHLH domain could be masked in the native form and translocation to the nucleus could be mediated by interaction either with class E bHLH partner protein or with NKX2-2
TRIM35	NA	NA	NA	NA	NA	NA	Cytoplasm
NRSN2	NA	NA	NA	NA	NA	NA	Membrane
PDSS1	NA	NA	NA	NA	NA	NA	Mitochondrion
TSPAN14	NA	NA	NA	NA	NA	NA	Cell membrane
IGHMBP2	NA	NA	NA	NA	NA	NA	Nucleus Cytoplasm Cell projection
PREP	RBC	NA	NA	NA	Protease	NA	Cytoplasm
P2RY6	NA	NA	NA	NA	NA	NA	Cell membrane
ARSB	NA	NA	NA	NA	NA	NA	Lysosome
WRNIP1	NA	NA	NA	NA	NA	NA	Nucleus
SUDS3	NA	NA	NA	NA	NA	NA	Nucleus
EDAR	NA	NA	NA	NA	NA	NA	Membrane
TRPC4AP	NA	NA	NA	NA	NA	NA	NA
GNAI2	RBC	NA	NA	NA	NA	NA	Cytoplasm
UCK1	NA	NA	NA	NA	NA	NA	NA
GUCA2A	NA	NA	NA	NA	NA	NA	Secreted
ADI1	NA	NA	NA	NA	NA	NA	Cytoplasm
FGF9	NA	NA	Matrisome-associated	Secreted Factors	Signalling	NA	Secreted
CCNB1	NA	NA	NA	NA	NA	NA	Cytoplasm Nucleus Cytoplasm
TOX3	NA	NA	NA	NA	NA	NA	Nucleus
ZSWIM5	NA	NA	NA	NA	NA	NA	NA
TDRD9	NA	NA	NA	NA	NA	NA	Cytoplasm
ADCY4	NA	NA	NA	NA	NA	NA	Cell membrane
COPS3	RBC	NA	NA	NA	NA	NA	Cytoplasm
SYP	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle
CEBPB	NA	NA	NA	NA	NA	NA	Nucleus
SLC27A1	NA	NA	NA	NA	NA	NA	Cell membrane
PEX16	NA	NA	NA	NA	NA	NA	Peroxisome membrane
ANKRD33B	NA	NA	NA	NA	NA	NA	NA
SULT2A1	NA	NA	NA	NA	NA	NA	Cytoplasm
CD4	NA	NA	NA	NA	NA	NA	Cell membrane
LMNTD2	NA	NA	NA	NA	NA	NA	NA
TNNI3	NA	NA	NA	NA	NA	NA	NA
TOPORS	NA	NA	NA	NA	NA	NA	Nucleus
NRAP	NA	NA	NA	NA	NA	NA	Note=Localized at the myotendinous junction in skeletal muscle and at the intercalated disk in cardiac muscle
METAP1	RBC	NA	NA	NA	Protease	NA	Cytoplasm
TOP1MT	NA	NA	NA	NA	NA	NA	Mitochondrion
KLF9	NA	NA	NA	NA	NA	NA	Nucleus
ASPHD1	NA	NA	NA	NA	NA	NA	Membrane
ZAN	NA	NA	NA	NA	NA	NA	Cell membrane
FAM172A	NA	NA	NA	NA	NA	NA	Nucleus
TCEAL6	NA	NA	NA	NA	NA	NA	Nucleus
HAUS3	NA	NA	NA	NA	NA	NA	Cytoplasm
CHRNA2	NA	NA	NA	NA	NA	NA	Cell junction
YIPF1	NA	NA	NA	NA	NA	NA	Golgi apparatus
EHF	NA	NA	NA	NA	NA	NA	Nucleus
PPIL6	NA	NA	NA	NA	NA	NA	NA
ATP11A	NA	NA	NA	NA	NA	NA	Cell membrane
CPNE6	NA	NA	NA	NA	NA	NA	Cytoplasm
CYP2A6	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
CYP2A13	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
VPS26A	NA	NA	NA	NA	NA	NA	Cytoplasm
TMEM97	NA	NA	NA	NA	NA	NA	Nucleus membrane
RAVER2	NA	NA	NA	NA	NA	NA	Nucleus
SGPP2	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
ZP3	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Zona pellucida
MRPL33	NA	NA	NA	NA	NA	NA	Mitochondrion
DMD	NA	NA	NA	NA	NA	NA	Cell membrane
CBLN3	NA	NA	Matrisome-associated	Secreted Factors	Signalling	NA	Endoplasmic reticulum Golgi apparatus
IL7R	NA	NA	NA	NA	NA	NA	Membrane
PDE7A	NA	NA	NA	NA	NA	NA	NA
ABCF2	NA	NA	NA	NA	NA	NA	NA
SNIP1	NA	NA	NA	NA	NA	NA	Nucleus
NBN	NA	NA	NA	NA	NA	NA	Nucleus
ATP2B2	NA	NA	NA	NA	NA	NA	Cell membrane
IKBIP	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
IKBKG	NA	NA	NA	NA	NA	NA	Cytoplasm
AASS	NA	NA	NA	NA	NA	NA	Mitochondrion
A4GALT	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
KLK2	NA	NA	NA	NA	Protease	NA	NA
KLK1	NA	NA	NA	NA	Protease	NA	NA
COA5	NA	NA	NA	NA	NA	mito	Mitochondrion
DNMBP	NA	NA	NA	NA	NA	NA	Cytoplasm
VSIR	NA	NA	NA	NA	NA	NA	Cell membrane
RTN4IP1	NA	NA	NA	NA	NA	NA	Mitochondrion
CKAP2	NA	NA	NA	NA	NA	NA	Cytoplasm
MYO1F	NA	NA	NA	NA	NA	NA	NA
N4BP1	NA	NA	NA	NA	NA	NA	Cytoplasm
UHRF1BP1L	NA	NA	NA	NA	NA	NA	Cytoplasm
IRF8	NA	NA	NA	NA	NA	NA	Nucleus
BCKDHB	NA	NA	NA	NA	NA	NA	Mitochondrion matrix
FZD8	NA	NA	NA	NA	NA	NA	Membrane
BCL3	NA	NA	NA	NA	NA	NA	Nucleus
SDR9C7	NA	NA	NA	NA	NA	NA	Cytoplasm
MPLKIP	NA	NA	NA	NA	NA	NA	Nucleus Cytoplasm Cytoplasm
KCTD4	NA	NA	NA	NA	NA	NA	NA
TMEM212	NA	NA	NA	NA	NA	NA	Membrane
LUM	RBC	Plasma	Core matrisome	Proteoglycans	Structural ECM	NA	Secreted
SPTB	RBC	NA	NA	NA	NA	NA	Cytoplasm
FAM219B	NA	NA	NA	NA	NA	NA	NA
ATG5	NA	NA	NA	NA	NA	NA	Cytoplasm
KCMF1	NA	NA	NA	NA	NA	NA	NA
NCAM1	NA	Plasma	NA	NA	NA	NA	Cell membrane
RASA4B	NA	NA	NA	NA	NA	NA	Cytoplasm
KIF12	NA	NA	NA	NA	NA	NA	Cytoplasm
CH25H	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
SYNJ2	NA	NA	NA	NA	NA	NA	Cytoplasm
TSPYL1	NA	NA	NA	NA	NA	NA	Nucleus
H2AZ2	NA	NA	NA	NA	NA	NA	Nucleus
RBM43	NA	NA	NA	NA	NA	NA	NA
FAM219A	NA	NA	NA	NA	NA	NA	NA
FAM227B	NA	NA	NA	NA	NA	NA	NA
ALG11	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
C1QTNF12	NA	NA	NA	NA	NA	NA	Secreted
ZMYM2	NA	NA	NA	NA	NA	NA	Nucleus
CYSRT1	NA	NA	NA	NA	NA	NA	NA
MREG	NA	NA	NA	NA	NA	NA	Apical cell membrane
LGI2	NA	NA	Core matrisome	ECM Glycoproteins	NA	NA	Secreted
GTF2A1	NA	NA	NA	NA	NA	NA	Nucleus
SNX19	RBC	NA	NA	NA	NA	NA	Early endosome membrane
CBLB	NA	NA	NA	NA	NA	NA	Cytoplasm
DEPDC1B	NA	NA	NA	NA	NA	NA	NA
AJM1	NA	NA	NA	NA	NA	NA	Apical cell membrane
NDST1	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
BMT2	NA	NA	NA	NA	NA	NA	NA
ARSA	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum
MAP3K6	NA	NA	NA	NA	NA	NA	NA
TMUB1	NA	NA	NA	NA	NA	NA	Membrane
PTK2	NA	NA	NA	NA	NA	NA	Cell junction
GPR55	NA	NA	NA	NA	NA	NA	Cell membrane
TCF20	NA	NA	NA	NA	NA	NA	Nucleus
RFTN1	NA	NA	NA	NA	NA	NA	Cell membrane
ZSCAN2	NA	NA	NA	NA	NA	NA	Nucleus
TKTL2	RBC	NA	NA	NA	NA	NA	NA
SUN2	NA	NA	NA	NA	NA	NA	Nucleus inner membrane
LLCFC1	NA	NA	NA	NA	NA	NA	Secreted
KHDRBS2	NA	NA	NA	NA	NA	NA	Nucleus
CCDC38	NA	NA	NA	NA	NA	NA	Cytoplasm
SALL2	NA	NA	NA	NA	NA	NA	Nucleus
CCDC65	NA	NA	NA	NA	NA	NA	Cytoplasm
FSTL4	NA	NA	NA	NA	NA	NA	Secreted
CORO1A	RBC	Plasma	NA	NA	NA	NA	Cytoplasm
TRIM10	NA	NA	NA	NA	NA	NA	NA
APOOL	NA	NA	NA	NA	NA	NA	Mitochondrion inner membrane
HAGH	RBC	NA	NA	NA	NA	NA	Mitochondrion matrix
PHF19	NA	NA	NA	NA	NA	NA	Nucleus
ZDHHC3	NA	NA	NA	NA	NA	NA	Golgi apparatus membrane
TICRR	NA	NA	NA	NA	NA	NA	Nucleus
RFTN2	NA	NA	NA	NA	NA	NA	Cell membrane
CARM1	RBC	NA	NA	NA	NA	NA	Nucleus Cytoplasm Note=Mainly nuclear during the G1
RPUSD1	NA	NA	NA	NA	NA	NA	NA
GSS	RBC	NA	NA	NA	NA	NA	NA
ERI3	NA	NA	NA	NA	NA	NA	NA
SUB1	NA	NA	NA	NA	NA	NA	Nucleus
USP46	NA	NA	NA	NA	Protease	NA	NA
DEFB131B	NA	NA	NA	NA	NA	NA	Secreted
SLC35D1	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
USB1	NA	NA	NA	NA	NA	NA	Nucleus
C11orf71	NA	NA	NA	NA	NA	NA	NA
IRF5	NA	NA	NA	NA	NA	NA	Cytoplasm
CRYBB3	NA	NA	NA	NA	NA	NA	NA
FEZF1	NA	NA	NA	NA	NA	NA	Nucleus
INS	NA	NA	Matrisome-associated	Secreted Factors	NA	NA	Secreted
KYAT1	NA	NA	NA	NA	NA	NA	Cytoplasm
SHISA8	NA	NA	NA	NA	NA	NA	Membrane
CLEC16A	NA	NA	NA	NA	NA	NA	Endosome membrane
SCGB3A1	NA	NA	NA	NA	NA	NA	Secreted
PDE12	RBC	NA	NA	NA	NA	NA	Mitochondrion matrix
MARCHF3	NA	NA	NA	NA	NA	NA	Cytoplasmic vesicle membrane
DLX5	NA	NA	NA	NA	NA	NA	Nucleus
SERPINA1	RBC	Plasma	Matrisome-associated	ECM Regulators	Protease Inhibitor	pi	Secreted
FOXD3	NA	NA	NA	NA	NA	NA	Nucleus
GOSR2	NA	NA	NA	NA	NA	NA	Golgi apparatus
NOA1	NA	NA	NA	NA	NA	NA	Mitochondrion inner membrane
OXGR1	NA	NA	NA	NA	NA	NA	Cell membrane
PKD1L2	NA	NA	NA	NA	NA	NA	Membrane
TMEM147	NA	NA	NA	NA	NA	NA	Endoplasmic reticulum membrane
FAM107B	NA	NA	NA	NA	NA	NA	NA
GINM1	NA	NA	NA	NA	NA	NA	Membrane
SYNPO	NA	NA	NA	NA	NA	NA	Cytoplasm
CDK14	NA	NA	NA	NA	NA	NA	Cell membrane
GTF3C1	NA	NA	NA	NA	NA	NA	Nucleus
RCOR2	NA	NA	NA	NA	NA	NA	Nucleus
SLC9A9	NA	NA	NA	NA	NA	NA	Late endosome membrane
SOWAHA	NA	NA	NA	NA	NA	NA	NA
CCL28	NA	NA	Matrisome-associated	Secreted Factors	signalling	signalling	Secreted
CCNI	NA	NA	NA	NA	NA	NA	NA
GRHL2	NA	NA	NA	NA	NA	NA	Nucleus
CUEDC2	NA	NA	NA	NA	NA	NA	Cytoplasm
STXBP1	NA	NA	NA	NA	NA	NA	Cytoplasm
CST11	NA	NA	Matrisome-associated	ECM Regulators	Protease Inhibitor	NA	Secreted
