Gene_Symbol	Protein_length	Division	Category	Secretome
VEGFD	354	Secreted	Secreted	Blood
VMO1	202	Secreted	Secreted	Blood
VSTM2A	236	Secreted	Secreted	Secreted-other tissues
WFDC12	111	Secreted	Secreted	Secreted-other tissues
WFDC2	124	Secreted	Secreted	Secreted-other tissues
ZG16	167	Secreted	Secreted	Digestive system
ADGRB1	1584	Cell membrane	Secreted	Brain
CCN4	367	Secreted	Secreted	ECM
CCN6	354	Secreted	Secreted	ECM
LAS2	372	Secreted	Secreted	Non-secretome
AADACL2	401	Secreted	Secreted	Secreted-other tissues
ACP7	438	Secreted	Secreted	Secreted-unknown location
ADCYAP1	176	Secreted	Secreted	Secreted-other tissues
ADGRE3	652	Secreted	Secreted	Blood
ADGRE4P	457	Secreted	Secreted	Non-secretome
ADGRF1	910	Cell membrane	Secreted	Secreted-unknown location
ADM2	148	Secreted	Secreted	Blood
ADM5	153	Secreted	Secreted	Blood
AGRP	132	Secreted	Secreted	Brain
ALKAL1	129	Secreted	Secreted	Secreted-unknown location
ALKAL2	152	Secreted	Secreted	Secreted-unknown location
AMN	453	Membrane	Secreted	Secreted-other tissues
AMTN	209	Secreted	Secreted	Secreted-other tissues
AMY1B	511	Secreted	Secreted	Digestive system
AMY1C	511	Secreted	Secreted	Digestive system
AMY2A	511	Secreted	Secreted	Digestive system
APELA	54	Secreted	Secreted	Secreted-other tissues
APLN	77	Secreted	Secreted	Secreted-other tissues
ART5	291	Secreted	Secreted	Secreted-other tissues
AVP	164	Secreted	Secreted	Blood
BAGE	43	Secreted	Secreted	Non-secretome
BAGE2	109	Secreted	Secreted	Non-secretome
BAGE3	109	Secreted	Secreted	Non-secretome
BAGE4	39	Secreted	Secreted	Non-secretome
BAGE5	43	Secreted	Secreted	Non-secretome
BPIFA2	249	Secreted	Secreted	Digestive system
BPIFA3	254	Secreted	Secreted	Male reproductive system
BPIFB3	476	Secreted	Secreted	Secreted-other tissues
BPIFB4	614	Secreted	Secreted	Secreted-unknown location
BPIFB6	453	Secreted	Secreted	Secreted-other tissues
BPIFC	507	Secreted	Secreted	Secreted-other tissues
BTBD17	478	Secreted	Secreted	Brain
C11orf94	98	Secreted	Secreted	Male reproductive system
C17orf67	90	Secreted	Secreted	Blood
C17orf77	243	Secreted	Secreted	Non-secretome
C17orf99	265	Secreted	Secreted	Blood
C5orf64	130	Secreted	Secreted	Non-secretome
C6orf15	325	Secreted	Secreted	ECM
C9orf47	202	Secreted	Secreted	Non-secretome
CALCA	141	Secreted	Secreted	Blood
CALCB	127	Secreted	Secreted	Blood
CARTPT	116	Secreted	Secreted	Blood
CBLIF	417	Secreted	Secreted	Digestive system
CCDC70	233	Secreted	Secreted	Male reproductive system
CCK	115	Secreted	Secreted	Blood
CCL3L1	93	Secreted	Secreted	Non-secretome
CCN1	381	Secreted	Secreted	ECM
CD300H	201	Secreted	Secreted	Non-secretome
CDNF	187	Secreted	Secreted	Secreted-other tissues
CEACAM16	425	Secreted	Secreted	Secreted-other tissues
CECR9	216	Secreted	Secreted	Non-secretome
CELF2-AS1	184	Secreted	Secreted	Non-secretome
CER1	267	Secreted	Secreted	Secreted-unknown location
CES1P1	287	Secreted	Secreted	Non-secretome
CES5A	575	Secreted	Secreted	Male reproductive system
CGA	116	Secreted	Secreted	Blood
CHST9	443	Golgi apparatus	Secreted	Intracellular and membrane
CLCA3P	262	Secreted	Secreted	Non-secretome
CLPSL1	121	Secreted	Secreted	Male reproductive system
CLPSL2	100	Secreted	Secreted	Male reproductive system
CNTNAP3	1288	Secreted	Secreted	Intracellular and membrane
CORT	105	Secreted	Secreted	Brain
CPA6	437	Secreted	Secreted	ECM
CREG2	290	Secreted	Secreted	Brain
CRLF2	371	Cell membrane	Secreted	Intracellular and membrane
CSN1S1	185	Secreted	Secreted	Female reproductive system
CSN2	226	Secreted	Secreted	Female reproductive system
CSN3	182	Secreted	Secreted	Female reproductive system
CST9LP1	147	Secreted	Secreted	Non-secretome
CTRB1	263	Secreted	Secreted	Digestive system
CTRB2	263	Secreted	Secreted	Digestive system
CXCL17	119	Secreted	Secreted	Blood
DEFA1	94	Secreted	Secreted	Blood
DEFA3	94	Secreted	Secreted	Blood
DEFB103A	67	Secreted	Secreted	Secreted-other tissues
DEFB104A	72	Secreted	Secreted	Male reproductive system
DEFB105A	78	Secreted	Secreted	Male reproductive system
DEFB106A	65	Secreted	Secreted	Male reproductive system
DEFB107A	70	Secreted	Secreted	Male reproductive system
DEFB108A	73	Secreted	Secreted	Non-secretome
DEFB108B	73	Secreted	Secreted	Male reproductive system
DEFB109B	87	Secreted	Secreted	Non-secretome
DEFB110	67	Secreted	Secreted	Male reproductive system
DEFB112	113	Secreted	Secreted	Non-secretome
DEFB113	82	Secreted	Secreted	Male reproductive system
DEFB114	69	Secreted	Secreted	Male reproductive system
DEFB115	88	Secreted	Secreted	Male reproductive system
DEFB116	102	Secreted	Secreted	Male reproductive system
DEFB118	123	Secreted	Secreted	Male reproductive system
DEFB119	84	Secreted	Secreted	Male reproductive system
DEFB121	76	Secreted	Secreted	Male reproductive system
DEFB123	67	Secreted	Secreted	Secreted-other tissues
DEFB124	71	Secreted	Secreted	Secreted-other tissues
DEFB125	156	Secreted	Secreted	Male reproductive system
DEFB126	111	Secreted	Secreted	Male reproductive system
DEFB127	99	Secreted	Secreted	Male reproductive system
DEFB128	93	Secreted	Secreted	Male reproductive system
DEFB129	183	Secreted	Secreted	Male reproductive system
DEFB130A	79	Secreted	Secreted	Male reproductive system
DEFB130B	79	Secreted	Secreted	Male reproductive system
DEFB131A	70	Secreted	Secreted	Secreted-other tissues
DEFB131B	70	Secreted	Secreted	Male reproductive system
DEFB132	95	Secreted	Secreted	Male reproductive system
DEFB133	61	Secreted	Secreted	Male reproductive system
DEFB134	66	Secreted	Secreted	Male reproductive system
DEFB135	77	Secreted	Secreted	Male reproductive system
DEFB136	78	Secreted	Secreted	Male reproductive system
DEFB4A	64	Secreted	Secreted	Secreted-other tissues
DHRS7C	312	Secreted	Secreted	Secreted-other tissues
DKK1	266	Secreted	Secreted	Secreted-other tissues
DKK4	224	Secreted	Secreted	Secreted-other tissues
DRAXIN	349	Secreted	Secreted	Brain
EDDM13	161	Secreted	Secreted	Male reproductive system
EDDM3A	147	Secreted	Secreted	Male reproductive system
EDDM3B	147	Secreted	Secreted	Male reproductive system
EDN3	238	Secreted	Secreted	Blood
EFNA4	201	Cell membrane	Secreted	Blood
ENHO	76	Secreted	Secreted	Brain
EPHA10	1008	Cell membrane	Secreted	Intracellular and membrane
EPPIN	133	Secreted	Secreted	Male reproductive system
ERFE	354	Secreted	Secreted	Blood
EXOC3-AS1	119	Secreted	Secreted	Non-secretome
FAM180B	183	Secreted	Secreted	Secreted-other tissues
FAM24A	105	Secreted	Secreted	Male reproductive system
FAM24B	94	Secreted	Secreted	Intracellular and membrane
FDCSP	85	Secreted	Secreted	Secreted-other tissues
FIBIN	211	Secreted	Secreted	Intracellular and membrane
FNDC5	212	Cell membrane	Secreted	Intracellular and membrane
FSTL5	847	Secreted	Secreted	Brain
GALP	116	Secreted	Secreted	Brain
GFRA4	299	Cell membrane	Secreted	Intracellular and membrane
GHRH	108	Secreted	Secreted	Secreted-other tissues
GKN2	184	Secreted	Secreted	Digestive system
GKN3P	181	Secreted	Secreted	Non-secretome
GLB1L	654	Secreted	Secreted	Secreted-unknown location
GNRH1	92	Secreted	Secreted	Blood
GNRH2	120	Secreted	Secreted	Blood
GPHB5	130	Secreted	Secreted	Blood
GPR15L	81	Secreted	Secreted	Non-secretome
GPX5	221	Secreted	Secreted	Male reproductive system
GPX6	221	Secreted	Secreted	Male reproductive system
GPX7	187	Secreted	Secreted	Blood
GRP	148	Secreted	Secreted	Secreted-other tissues
GZMA	262	Secreted	Secreted	Blood
GZMB	247	Secreted	Secreted	Blood
GZMK	264	Cytoplasmic vesicle	Secreted	Blood
GZMM	257	Secreted	Secreted	Blood
HCG22	251	Secreted	Secreted	Non-secretome
HHLA1	531	Secreted	Secreted	Secreted-unknown location
HTN1	57	Secreted	Secreted	Digestive system
HTN3	51	Secreted	Secreted	Digestive system
IAPP	89	Secreted	Secreted	Blood
IFNL1	200	Secreted	Secreted	Blood
IFNL2	200	Secreted	Secreted	Blood
IFNL3	196	Secreted	Secreted	Blood
IGFL1	110	Secreted	Secreted	Secreted-other tissues
IGFL3	125	Secreted	Secreted	Secreted-other tissues
IGHD1-1	5	Secreted	Secreted	Immunoglobulin genes
IGHJ1	17	Secreted	Secreted	Immunoglobulin genes
IGHV1-38-4	117	Secreted	Secreted	Non-secretome
IGHV3-30-3	117	Secreted	Secreted	Non-secretome
IGHV3-30-5	117	Secreted	Secreted	Non-secretome
IGHV3-38-3	115	Secreted	Secreted	Non-secretome
IGHV3-43D	118	Secreted	Secreted	Non-secretome
IGHV4-30-4	118	Secreted	Secreted	Non-secretome
IGHV4-31	118	Secreted	Secreted	Immunoglobulin genes
IGHV4-38-2	117	Secreted	Secreted	Non-secretome
IGHV8-51-1	115	Secreted	Secreted	Immunoglobulin genes
IGKJ1	12	Secreted	Secreted	Immunoglobulin genes
IGKV1-33	117	Secreted	Secreted	Immunoglobulin genes
IGKV1-37	117	Secreted	Secreted	Immunoglobulin genes
IGKV1D-13	117	Secreted	Secreted	Immunoglobulin genes
IGKV1D-39	117	Secreted	Secreted	Immunoglobulin genes
IGKV2-28	120	Secreted	Secreted	Immunoglobulin genes
IGKV2-29	120	Secreted	Secreted	Non-secretome
IGKV2-40	121	Secreted	Secreted	Immunoglobulin genes
IGKV2D-24	120	Secreted	Secreted	Immunoglobulin genes
IGKV2D-30	120	Secreted	Secreted	Immunoglobulin genes
IGKV6D-21	114	Secreted	Secreted	Immunoglobulin genes
IGLC1	106	Secreted	Secreted	Immunoglobulin genes
IGLC2	106	Secreted	Secreted	Immunoglobulin genes
IGLC3	106	Secreted	Secreted	Immunoglobulin genes
IGLJ1	42	Secreted	Secreted	Immunoglobulin genes
IGLV1-50	118	Secreted	Secreted	Immunoglobulin genes
IGLV11-55	123	Secreted	Secreted	Immunoglobulin genes
IGLV2-33	118	Secreted	Secreted	Immunoglobulin genes
IGLV3-32	114	Secreted	Secreted	Immunoglobulin genes
IGLV5-39	123	Secreted	Secreted	Non-secretome
IGLV5-48	105	Secreted	Secreted	Immunoglobulin genes
IL11RA	422	Membrane	Secreted	Blood
IL17RE	667	Cell membrane	Secreted	Intracellular and membrane
IL21	162	Secreted	Secreted	Blood
IL22RA2	263	Secreted	Secreted	Blood
IL27	243	Secreted	Secreted	Blood
IL31	164	Secreted	Secreted	Blood
IL32	234	Secreted	Secreted	Blood
IZUMO4	232	Secreted	Secreted	Male reproductive system
KIR3DX1	352	Secreted	Secreted	Non-secretome
KIRREL3	778	Cell membrane	Secreted	Intracellular and membrane
KL	1012	Cell membrane	Secreted	Blood
KLK12	248	Secreted	Secreted	Secreted-other tissues
KLK13	277	Secreted	Secreted	Secreted-other tissues
KLK14	267	Secreted	Secreted	Secreted-other tissues
KLK15	256	Secreted	Secreted	Blood
KLK4	254	Secreted	Secreted	Male reproductive system
KLK9	250	Secreted	Secreted	Secreted-other tissues
LCN10	187	Secreted	Secreted	Male reproductive system
LCN12	192	Secreted	Secreted	Male reproductive system
LCN1P1	162	Secreted	Secreted	Non-secretome
LCN6	163	Secreted	Secreted	Male reproductive system
LCN8	175	Secreted	Secreted	Male reproductive system
LCN9	176	Secreted	Secreted	Male reproductive system
LINC00305	112	Secreted	Secreted	Non-secretome
LIPF	398	Secreted	Secreted	Digestive system
LIPH	451	Secreted	Secreted	Blood
LIPK	399	Secreted	Secreted	Secreted-other tissues
LIPM	423	Secreted	Secreted	Secreted-other tissues
LIPN	398	Secreted	Secreted	Secreted-other tissues
LLCFC1	122	Secreted	Secreted	Male reproductive system
LPO	712	Secreted	Secreted	Digestive system
LY6G5B	201	Secreted	Secreted	Blood
LYG1	194	Secreted	Secreted	Secreted-other tissues
LYG2	212	Secreted	Secreted	Secreted-other tissues
LYZL1	148	Secreted	Secreted	Male reproductive system
LYZL2	148	Secreted	Secreted	Male reproductive system
LYZL4	146	Secreted	Secreted	Male reproductive system
LYZL6	148	Secreted	Secreted	Male reproductive system
METTL24	366	Secreted	Secreted	Secreted-unknown location
MPEG1	716	Cytoplasmic vesicle	Secreted	Blood
MT-RNR1	16	Secreted	Secreted	Non-secretome
MT-RNR2	24	Secreted	Secreted	Non-secretome
MTRNR2L1	24	Secreted	Secreted	Blood
MTRNR2L10	24	Secreted	Secreted	Blood
MTRNR2L11	24	Secreted	Secreted	Blood
MTRNR2L12	27	Secreted	Secreted	Blood
MTRNR2L13	24	Secreted	Secreted	Secreted-unknown location
MTRNR2L2	28	Secreted	Secreted	Non-secretome
MTRNR2L3	24	Secreted	Secreted	Secreted-unknown location
MTRNR2L4	28	Secreted	Secreted	Blood
MTRNR2L5	24	Secreted	Secreted	Secreted-unknown location
MTRNR2L6	24	Secreted	Secreted	Blood
MTRNR2L7	24	Secreted	Secreted	Secreted-unknown location
MTRNR2L8	24	Secreted	Secreted	Blood
MTRNR2L9	24	Secreted	Secreted	Non-secretome
NMS	153	Secreted	Secreted	Brain
NMU	174	Secreted	Secreted	Secreted-other tissues
NOG	232	Secreted	Secreted	Blood
NOTCH2NLA	236	Secreted	Secreted	Blood
NOTCH2NLB	275	Secreted	Secreted	Blood
NOTCH2NLC	236	Secreted	Secreted	Blood
NPB	125	Secreted	Secreted	Secreted-other tissues
NPFF	113	Secreted	Secreted	Male reproductive system
NPPB	134	Secreted	Secreted	Blood
NPPC	126	Secreted	Secreted	Blood
NPS	89	Secreted	Secreted	Brain
NPVF	196	Secreted	Secreted	Secreted-other tissues
NPW	165	Secreted	Secreted	Blood
NXPE1	547	Secreted	Secreted	Intracellular and membrane
NXPE4	544	Secreted	Secreted	Digestive system
NXPH1	271	Secreted	Secreted	Brain
NXPH2	264	Secreted	Secreted	Brain
NXPH4	308	Secreted	Secreted	Brain
OBP2A	170	Secreted	Secreted	Secreted-other tissues
OBP2B	170	Secreted	Secreted	Secreted-other tissues
OC90	477	Secreted	Secreted	Secreted-other tissues
ODAPH	130	Secreted	Secreted	Secreted-other tissues
OOSP1	123	Secreted	Secreted	Non-secretome
OOSP2	158	Secreted	Secreted	Male reproductive system
OOSP3	193	Secreted	Secreted	Secreted-unknown location
OOSP4A	184	Secreted	Secreted	Secreted-unknown location
OOSP4B	160	Secreted	Secreted	Secreted-unknown location
OSTN	133	Secreted	Secreted	Secreted-other tissues
OTOR	128	Secreted	Secreted	Secreted-other tissues
OTOS	89	Secreted	Secreted	Secreted-other tissues
OVCH1	1134	Secreted	Secreted	Secreted-other tissues
OVCH2	564	Secreted	Secreted	Male reproductive system
OXT	125	Secreted	Secreted	Blood
PATE1	126	Secreted	Secreted	Male reproductive system
PATE2	113	Secreted	Secreted	Male reproductive system
PATE3	98	Secreted	Secreted	Male reproductive system
PATE4	98	Secreted	Secreted	Male reproductive system
PCDHA10	948	Cell membrane	Secreted	Secreted-unknown location
PDYN	254	Secreted	Secreted	Brain
PGA3	388	Secreted	Secreted	Digestive system
PGA4	388	Secreted	Secreted	Digestive system
PGA5	388	Secreted	Secreted	Digestive system
PGLYRP3	341	Secreted	Secreted	Secreted-other tissues
PKD1L1-AS1	122	Secreted	Secreted	Non-secretome
PLA2G10	165	Secreted	Secreted	Secreted-other tissues
PLA2G12A	189	Secreted	Secreted	Blood
PLA2G2C	149	Secreted	Secreted	Secreted-unknown location
PLA2G2D	145	Secreted	Secreted	Secreted-other tissues
PLA2G2E	142	Secreted	Secreted	Secreted-unknown location
PLA2G2F	168	Secreted	Secreted	Intracellular and membrane
PLA2G5	138	Secreted	Secreted	Secreted-other tissues
PLAC1	212	Secreted	Secreted	Female reproductive system
PLAC9	97	Secreted	Secreted	Secreted-unknown location
PLGLA	96	Secreted	Secreted	Non-secretome
PLGLB1	96	Secreted	Secreted	Blood
PMCH	165	Secreted	Secreted	Blood
PNLIPRP3	467	Secreted	Secreted	Secreted-unknown location
POMC	267	Secreted	Secreted	Blood
PRADC1	188	Secreted	Secreted	Blood
PRLH	87	Secreted	Secreted	Brain
PRLR	622	Membrane	Secreted	Intracellular and membrane
PRNT	94	Secreted	Secreted	Non-secretome
PROK1	105	Secreted	Secreted	Blood
PROK2	129	Secreted	Secreted	Blood
PRR27	219	Secreted	Secreted	Digestive system
PRSS29P	313	Secreted	Secreted	Non-secretome
PRSS33	280	Secreted	Secreted	Blood
PRSS35	413	Secreted	Secreted	Female reproductive system
PRSS36	855	Secreted	Secreted	ECM
PRSS38	326	Secreted	Secreted	Male reproductive system
PRSS47	375	Secreted	Secreted	Non-secretome
PRSS48	328	Secreted	Secreted	Secreted-unknown location
PRSS51	220	Secreted	Secreted	Brain
PRSS53	553	Secreted	Secreted	Secreted-other tissues
PRSS54	395	Secreted	Secreted	Male reproductive system
PRSS58	241	Secreted	Secreted	Male reproductive system
PSG7	419	Secreted	Secreted	Female reproductive system
PSORS1C2	136	Secreted	Secreted	Secreted-other tissues
PTH	115	Secreted	Secreted	Blood
PTX4	478	Secreted	Secreted	Secreted-unknown location
PYY	97	Secreted	Secreted	Blood
PYY2	33	Secreted	Secreted	Non-secretome
PYY3	70	Secreted	Secreted	Non-secretome
QRFP	136	Secreted	Secreted	Secreted-other tissues
R3HDML	253	Secreted	Secreted	Secreted-unknown location
RBP3	1247	Secreted	Secreted	Secreted-other tissues
RETNLB	111	Secreted	Secreted	Blood
RLN1	185	Secreted	Secreted	Blood
RLN3	142	Secreted	Secreted	Blood
RNASE10	216	Secreted	Secreted	Secreted-unknown location
RNASE11	199	Secreted	Secreted	Male reproductive system
RNASE12	147	Secreted	Secreted	Male reproductive system
RNASE13	156	Secreted	Secreted	Male reproductive system
RNASE3	160	Other	Secreted	Blood
RNASE8	154	Secreted	Secreted	Digestive system
RNASE9	205	Secreted	Secreted	Male reproductive system
RNLS	342	Secreted	Secreted	Blood
RS1	224	Secreted	Secreted	Secreted-other tissues
SCGB1C1	95	Secreted	Secreted	Secreted-unknown location
SCGB1C2	95	Secreted	Secreted	Secreted-other tissues
SCGB1D1	90	Secreted	Secreted	Secreted-other tissues
SCGB1D2	90	Secreted	Secreted	Secreted-other tissues
SCGB1D4	83	Secreted	Secreted	Female reproductive system
SCGB2A2	93	Secreted	Secreted	Female reproductive system
SCGB2B2	96	Secreted	Secreted	Secreted-other tissues
SCT	121	Secreted	Secreted	Blood
SIRPD	197	Secreted	Secreted	Male reproductive system
SMR3A	134	Secreted	Secreted	Digestive system
SPACA3	215	Cytoplasmic vesicle	Secreted	Male reproductive system
SPACA5	159	Secreted	Secreted	Male reproductive system
SPACA7	195	Secreted	Secreted	Male reproductive system
SPINK14	97	Secreted	Secreted	Secreted-unknown location
SPINK2	84	Secreted	Secreted	Blood
SPINK6	80	Secreted	Secreted	Secreted-unknown location
SPINK8	97	Secreted	Secreted	Blood
SPINT3	89	Secreted	Secreted	Male reproductive system
SPINT4	99	Secreted	Secreted	Male reproductive system
SSBP3-AS1	100	Secreted	Secreted	Non-secretome
SSPOP	5150	Secreted	Secreted	Non-secretome
STATH	62	Secreted	Secreted	Digestive system
STRCP1	1772	Secreted	Secreted	Non-secretome
TAC1	129	Secreted	Secreted	Blood
TAC4	113	Secreted	Secreted	Blood
TAFA1	133	Secreted	Secreted	Brain
TAFA3	133	Secreted	Secreted	Secreted-other tissues
TAFA4	140	Secreted	Secreted	Brain
TAFA5	132	Secreted	Secreted	Brain
TEPP	271	Secreted	Secreted	Male reproductive system
THNSL2	484	Secreted	Secreted	Secreted-unknown location
TMEFF2	374	Membrane	Secreted	Male reproductive system
TMPRSS11D	418	Cell membrane	Secreted	Intracellular and membrane
TMPRSS11E	423	Cell membrane	Secreted	Secreted-other tissues
TNFRSF6B	300	Secreted	Secreted	Blood
TOR2A	242	Endoplasmic reticulum	Secreted	Blood
TPSAB1	275	Secreted	Secreted	Blood
TPSD1	242	Secreted	Secreted	Intracellular and membrane
TREML4	200	Cell membrane	Secreted	Secreted-unknown location
TRH	242	Secreted	Secreted	Secreted-other tissues
TSHB	138	Secreted	Secreted	Blood
UCN3	161	Secreted	Secreted	Blood
USH2A	5202	Secreted	Secreted	Intracellular and membrane
UTS2	124	Secreted	Secreted	Blood
UTS2B	119	Secreted	Secreted	Secreted-unknown location
VNN3	274	Cell membrane	Secreted	Blood
WFDC1	220	Secreted	Secreted	ECM
WFDC10A	79	Secreted	Secreted	Male reproductive system
WFDC10B	73	Secreted	Secreted	Male reproductive system
WFDC11	87	Secreted	Secreted	Male reproductive system
WFDC13	93	Secreted	Secreted	Male reproductive system
WFDC3	231	Secreted	Secreted	Male reproductive system
WFDC5	224	Secreted	Secreted	Secreted-other tissues
WFDC6	131	Secreted	Secreted	Male reproductive system
WFDC8	241	Membrane	Secreted	Male reproductive system
WFDC9	89	Secreted	Secreted	Male reproductive system
ZNF22-AS1	122	Secreted	Secreted	Non-secretome
PRH1	166	Secreted	Secreted	Non-secretome
MRLN	46	Endoplasmic reticulum	Sarcoplasmic reticulum membrane	Non-secretome
STRIT1	35	Unknown	Sarcoplasmic reticulum membrane	Non-secretome
HRC	699	Unknown	Sarcoplasmic reticulum lumen	Intracellular and membrane
SRL	473	Endoplasmic reticulum	Sarcoplasmic reticulum lumen	Intracellular and membrane
CASQ2	399	Endoplasmic reticulum	Sarcoplasmic reticulum lumen	Intracellular and membrane
ANK1	1881	Cytoplasm	Sarcoplasmic reticulum	Intracellular and membrane
AKAP6	2319	Unknown	Sarcoplasmic reticulum	Non-secretome
HCRT	131	Endoplasmic reticulum	Rough endoplasmic reticulum	Blood
ISL2	359	Nucleus	Rods & rings	Non-secretome
TRIM59	403	Endoplasmic reticulum	Rods & rings	Non-secretome
UBE3D	389	Unknown	Rods & rings	Non-secretome
ACTR3	418	Cytoplasm	Ribosome 60s_unknown	Non-secretome
AGAP1	857	Cytoplasm	Ribosome 60s_unknown	Non-secretome
AGFG2	481	Membrane	Ribosome 60s_unknown	Non-secretome
AP2S1	142	Cell membrane	Ribosome 60s_unknown	Non-secretome
ARAP3	1544	Cytoplasm	Ribosome 60s_unknown	Non-secretome
ARHGEF2	986	Cytoplasm	Ribosome 60s_unknown	Non-secretome
ARHGEF7	803	Cell junction	Ribosome 60s_unknown	Non-secretome
ARPC4	168	Cytoplasm	Ribosome 60s_unknown	Non-secretome
ARPC5L	153	Cytoplasm	Ribosome 60s_unknown	Non-secretome
BECN1	450	Cytoplasm	Ribosome 60s_unknown	Non-secretome
CDC42BPB	1711	Cytoplasm	Ribosome 60s_unknown	Non-secretome
CLASP1	1538	Cytoplasm	Ribosome 60s_unknown	Non-secretome
COMMD3	195	Cytoplasm	Ribosome 60s_unknown	Non-secretome
CPNE8	564	Exosome	Ribosome 60s_unknown	Non-secretome
CSRP1	193	Nucleus	Ribosome 60s_unknown	Non-secretome
CSRP2	193	Nucleus	Ribosome 60s_unknown	Non-secretome
CYFIP1	1253	Cytoplasm	Ribosome 60s_unknown	Non-secretome
DAB2IP	1189	Cytoplasm	Ribosome 60s_unknown	Non-secretome
DOCK7	2140	Cell projection	Ribosome 60s_unknown	Non-secretome
ETF1	437	Cytoplasm	Ribosome 60s_unknown	Non-secretome
EXOC5	708	Cytoplasm	Ribosome 60s_unknown	Non-secretome
GAS2L3	694	Cytoplasm	Ribosome 60s_unknown	Non-secretome
HECW2	1572	Cytoplasm	Ribosome 60s_unknown	Non-secretome
IFT140	1462	Cytoplasm	Ribosome 60s_unknown	Non-secretome
KIF7	1343	Cell projection	Ribosome 60s_unknown	Non-secretome
LATS1	1130	Cytoplasm	Ribosome 60s_unknown	Non-secretome
MARK3	753	Cell membrane	Ribosome 60s_unknown	Non-secretome
MELK	651	Cell membrane	Ribosome 60s_unknown	Non-secretome
MTCL1	1905	Membrane	Ribosome 60s_unknown	Non-secretome
NUMBL	609	Cytoplasm	Ribosome 60s_unknown	Non-secretome
PEAK1	1746	Cytoplasm	Ribosome 60s_unknown	Non-secretome
PIK3C3	887	Other	Ribosome 60s_unknown	Non-secretome
POC1A	407	Cytoplasm	Ribosome 60s_unknown	Non-secretome
SRP19	144	Cytoplasm	Ribosome 60s_unknown	Non-secretome
SRP72	671	Ribosome	Ribosome 60s_unknown	Non-secretome
TAB2	693	Membrane	Ribosome 60s_unknown	Non-secretome
TANC1	1861	Cell junction	Ribosome 60s_unknown	Non-secretome
TK1	234	Cytoplasm	Ribosome 60s_unknown	Non-secretome
TRAF3	568	Cytoplasm	Ribosome 60s_unknown	Non-secretome
TTC9	222	Other	Ribosome 60s_unknown	Non-secretome
Uncharacterized	0	Ribosome	Ribosome 60s_unknown	Non-secretome
VIPAS39	493	Cytoplasm	Ribosome 60s_unknown	Non-secretome
VPS28	221	Cell membrane	Ribosome 60s_unknown	Non-secretome
VPS33B	617	Endosome	Ribosome 60s_unknown	Non-secretome
VPS37B	285	Endosome	Ribosome 60s_unknown	Non-secretome
VPS39	886	Cytoplasm	Ribosome 60s_unknown	Non-secretome
VPS52	723	Golgi apparatus	Ribosome 60s_unknown	Non-secretome
WASF1	559	Cytoplasm	Ribosome 60s_unknown	Non-secretome
ZFYVE26	2539	Cytoplasm	Ribosome 60s_unknown	Non-secretome
ANKRD30B	1392	Ribosome	Ribosome 60s	Non-secretome
CCDC124	223	Cytoplasm	Ribosome 60s	Non-secretome
CEP55	464	Cytoplasm	Ribosome 60s	Non-secretome
CIT	2027	Cytoplasm	Ribosome 60s	Non-secretome
DOCK4	1966	Cell membrane	Ribosome 60s	Non-secretome
DUSP12	340	Nucleus	Ribosome 60s	Non-secretome
EEF1A2	463	Nucleus	Ribosome 60s	Non-secretome
EIF5A	154	Cytoplasm	Ribosome 60s	Non-secretome
FKBP3	224	Nucleus	Ribosome 60s	Non-secretome
HDLBP	1268	Cytoplasm	Ribosome 60s	Non-secretome
HIP1R	1068	Cytoplasm	Ribosome 60s	Non-secretome
ITSN2	1697	Cytoplasm	Ribosome 60s	Non-secretome
LRCH1	728	Cytoplasm	Ribosome 60s	Non-secretome
MTHFD1	935	Cytoplasm	Ribosome 60s	Non-secretome
MTMR6	621	Cytoplasm	Ribosome 60s	Non-secretome
NF1	2839	Nucleus	Ribosome 60s	Non-secretome
OAS3	1087	Cytoplasm	Ribosome 60s	Non-secretome
PDZD11	140	Cytoplasm	Ribosome 60s	Intracellular and membrane
PLEKHA5	1116	Ribosome	Ribosome 60s	Non-secretome
PRKRA	313	Cytoplasm	Ribosome 60s	Non-secretome
RPL10	214	Ribosome	Ribosome 60s	Non-secretome
RPL10A	217	Cytoplasm	Ribosome 60s	Non-secretome
RPL11	178	Ribosome	Ribosome 60s	Non-secretome
RPL12	165	Cytoplasm	Ribosome 60s	Non-secretome
RPL13	211	Cytoplasm	Ribosome 60s	Non-secretome
RPL13A	203	Ribosome	Ribosome 60s	Non-secretome
RPL14	215	Cytoplasm	Ribosome 60s	Non-secretome
RPL15	204	Membrane	Ribosome 60s	Non-secretome
RPL17	184	Ribosome	Ribosome 60s	Non-secretome
RPL18	188	Cytoplasm	Ribosome 60s	Non-secretome
RPL18A	176	Cytoplasm	Ribosome 60s	Non-secretome
RPL19	196	Cytoplasm	Ribosome 60s	Non-secretome
RPL21	160	Ribosome	Ribosome 60s	Non-secretome
RPL22	128	Cytoplasm	Ribosome 60s	Non-secretome
RPL22L1	122	Cytoplasm	Ribosome 60s	Non-secretome
RPL23	140	Cytoplasm	Ribosome 60s	Non-secretome
RPL23A	156	Cytoplasm	Ribosome 60s	Non-secretome
RPL24	157	Cytoplasm	Ribosome 60s	Non-secretome
RPL27	136	Cytoplasm	Ribosome 60s	Non-secretome
RPL27A	148	Cytoplasm	Ribosome 60s	Non-secretome
