Gene_Symbol	Protein_length	Division	Category	Secretome
Prss45	317	Secreted	Secreted	Non-secretome
Slc25a39	359	Other	Mitochondrion inner membrane	Non-secretome
Pter	349	Nucleoplasm	Nucleoplasm	Non-secretome
Cdk1	297	Nucleus	Nucleus	Non-secretome
Hnrnpa1	320	Nucleus	Nucleus	Non-secretome
Gins3	216	Nucleus	Nucleus	Non-secretome
Ndufb11	151	Other	Mitochondrion inner membrane	Non-secretome
Slc8b1	585	Other	Mitochondrion inner membrane	Non-secretome
Cldnd2	167	Unknown	Membrane	Non-secretome
Bles03	298	Unknown	Unknown	Non-secretome
Zfat	1237	Nucleus	Nucleus	Non-secretome
Mdfic	247	Other	Nucleus Cytoplasm Nucleus	Non-secretome
Pitx3	302	Nucleus	Nucleus	Non-secretome
Cpa3	417	Cytosol	Cytoplasmic vesicle	Non-secretome
Arhgap23	1483	Nucleoplasm	Nucleoplasm	Non-secretome
Ly6d	127	Plasma membrane	Cell membrane	Non-secretome
Edem1	652	ER	Endoplasmic reticulum membrane	Non-secretome
Dnaaf9	1179	Unknown	Unknown	Non-secretome
Lhpp	270	Cytosol	Cytoplasm	Non-secretome
Med18	208	Nucleus	Nucleus	Non-secretome
Ccdc103	237	Cytosol	Cytoplasm	Non-secretome
Map4k5	847	Cytosol	Cytoplasm	Non-secretome
Ethe1	254	Cytosol	Cytoplasm	Non-secretome
Skor1	964	Nucleus	Nucleus	Non-secretome
Tgfbi	683	Secreted	Secreted	Non-secretome
Pals1	675	Golgi	Golgi apparatus	Non-secretome
Atf7ip	1306	Nucleus	Nucleus	Non-secretome
Nop56	580	Nucleus	Nucleus	Non-secretome
Chrna2	512	Plasma membrane	Cell junction	Non-secretome
Ncaph	731	Nucleus	Nucleus	Non-secretome
Carm1	608	Other	Nucleus Cytoplasm	Non-secretome
Clic1	241	Nucleus	Nucleus	Non-secretome
Cxcr3	367	Plasma membrane	Cell membrane	Non-secretome
Prmt1	371	Nucleus	Nucleus	Non-secretome
Nox3	568	Unknown	Membrane	Non-secretome
Adamts4	833	Secreted	Secreted	Non-secretome
Mrpl41	135	Other	Mitochondrion	Non-secretome
Rsph4a	716	Cytosol	Cytoplasm	Non-secretome
Eepd1	569	Nuclear speckles	Nuclear speckles	Non-secretome
Slco1a1	670	Plasma membrane	Basolateral cell membrane	Non-secretome
Sdk2	2176	Plasma membrane	Cell membrane	Non-secretome
Atpaf1	324	Other	Mitochondrion	Non-secretome
Mfap4	257	Secreted	Secreted	Non-secretome
Gpd2	727	Other	Mitochondrion inner membrane	Non-secretome
Plaat3	162	Plasma membrane	Cell membrane	Non-secretome
Ilvbl	632	ER	Endoplasmic reticulum membrane	Non-secretome
Rnpepl1	720	Nucleoplasm	Nucleoplasm	Non-secretome
Iba57	358	Other	Mitochondrion	Non-secretome
Itfg2	443	Lysosome	Lysosome membrane	Non-secretome
Plekhm2	1018	Cytosol	Cytoplasm	Non-secretome
Cacng6	260	Plasma membrane	Cell membrane	Non-secretome
Dytn	653	Plasma membrane	Cell membrane	Non-secretome
Hoxc4	264	Nucleus	Nucleus	Non-secretome
Col24a1	1733	Secreted	Secreted	Non-secretome
Hmgcl	325	Other	Mitochondrion matrix	Non-secretome
Fam177a1	207	Nucleoplasm	Nucleoplasm	Non-secretome
Vcpkmt	228	Cytosol	Cytoplasm	Non-secretome
Mier1	511	Nucleus	Nucleus	Non-secretome
Spred3	408	Plasma membrane	Cell membrane	Non-secretome
Alox5	674	Cytosol	Cytoplasm	Non-secretome
Rinl	563	Unknown	Cell projection	Non-secretome
Dnai2	623	Cytosol	Cytoplasm	Non-secretome
Cdt1	557	Nucleus	Nucleus	Non-secretome
Top3b	862	Nucleoplasm	Nucleoplasm	Non-secretome
Obi1	722	Chromatin	Chromosome	Non-secretome
Tapt1	564	Cytosol	Cytoplasm	Non-secretome
Klc4	619	Cytosol	Cytoplasm	Non-secretome
Tbrg1	406	Nucleus	Nucleus	Non-secretome
Tmx1	278	Unknown	Membrane	Non-secretome
Gtf2h2	396	Nucleus	Nucleus	Non-secretome
Zfhx4	3550	Nucleus	Nucleus	Non-secretome
Ca15	324	Secreted	Secreted	Non-secretome
Nploc4	608	Cytosol	Cytoplasm	Non-secretome
Lsm10	122	Nucleus	Nucleus	Non-secretome
Cd69	199	Unknown	Membrane	Non-secretome
Tbc1d10c	444	Nuclear bodies	Nuclear bodies	Non-secretome
Rnf225	332	Unknown	Membrane	Non-secretome
Ube2ql1	161	Nucleus	Nucleus	Non-secretome
Vmn1r45	318	Plasma membrane	Cell membrane	Non-secretome
Znf8	572	Nucleus	Nucleus	Non-secretome
Hey2	339	Nucleus	Nucleus	Non-secretome
Srl	472	Unknown	Sarcoplasmic reticulum lumen	Non-secretome
Rmnd5b	393	Cytosol	Cytoplasm	Non-secretome
Traf3ip1	625	Cytosol	Cytoplasm	Non-secretome
Speg	3262	Nucleus	Nucleus	Non-secretome
Trappc10	1258	Golgi	Golgi apparatus	Non-secretome
Col6a1	1025	Secreted	Secreted	Non-secretome
Znf366	746	Nucleus	Nucleus	Non-secretome
Bex4	118	Cytosol	Cytoplasm	Non-secretome
Tcim	106	Cytosol	Cytoplasm	Non-secretome
Shd	343	Centrosome	Centriolar satellite	Non-secretome
Mphosph10	681	Nucleus	Nucleus	Non-secretome
Mslnl	685	Unknown	Membrane	Non-secretome
Sgsm3	750	Cytosol	Cytoplasm	Non-secretome
Btg2	158	Vesicles	Vesicles	Non-secretome
Prkce	737	Cytosol	Cytoplasm	Non-secretome
Fndc11	326	Nucleoplasm	Nucleoplasm	Non-secretome
Slc30a4	430	Unknown	Endosome membrane	Non-secretome
Itgb7	806	Unknown	Membrane	Non-secretome
Rdh11	316	ER	Endoplasmic reticulum membrane	Non-secretome
Ano7	859	Plasma membrane	Cell membrane	Non-secretome
Serf1	62	Cytosol	Cytoplasm	Non-secretome
Coro1a	461	Cytosol	Cytoplasm	Non-secretome
Jund	341	Nucleus	Nucleus	Non-secretome
Cask	926	Nucleus	Nucleus	Non-secretome
Ncan	1268	Secreted	Secreted	Non-secretome
Il36a	160	Cytosol	Cytoplasm	Non-secretome
Psma3	255	Cytosol	Cytoplasm	Non-secretome
Tlcd3b	275	Golgi	Golgi apparatus membrane	Non-secretome
Prkar2a	401	Cytosol	Cytoplasm	Non-secretome
Il17c	194	Secreted	Secreted	Non-secretome
Lims2	341	Plasma membrane	Cell junction	Non-secretome
Adcy8	1249	Plasma membrane	Cell membrane	Non-secretome
Tmem235	211	Unknown	Membrane	Non-secretome
Wnk2	2149	Cytosol	Cytoplasm	Non-secretome
Fgfbp3	245	Secreted	Secreted	Non-secretome
Klk1	261	Unknown	Unknown	Non-secretome
Mphosph6	161	Nucleus	Nucleus	Non-secretome
Gnl2	728	Nucleus	Nucleus	Non-secretome
Coa5	74	Other	Mitochondrion	Non-secretome
Egfl7	275	Secreted	Secreted	Non-secretome
Mpped1	326	Unknown	Unknown	Non-secretome
Dnajc30	219	Other	Mitochondrion inner membrane	Non-secretome
Tmem255b	369	Unknown	Membrane	Non-secretome
Setx	2646	Nucleus	Nucleus	Non-secretome
Sprr1a	144	Cytosol	Cytoplasm	Non-secretome
Timp1	205	Secreted	Secreted	Non-secretome
Ffar4	361	Plasma membrane	Cell membrane	Non-secretome
Alk	1621	Plasma membrane	Cell membrane	Non-secretome
Ugt1a6	531	Other	Microsome Endoplasmic reticulum membrane	Non-secretome
Rps12	132	Cytosol	Cytoplasm	Non-secretome
Pex12	359	Peroxisome	Peroxisome membrane	Non-secretome
Igsf11	428	Plasma membrane	Cell membrane	Non-secretome
Tuft1	390	Secreted	Secreted	Non-secretome
Fabp3	133	Cytosol	Cytoplasm	Non-secretome
Olfr486	314	Plasma membrane	Cell membrane	Non-secretome
Gclc	637	Nucleoplasm	Nucleoplasm	Non-secretome
Rc3h2	1187	Cytosol	Cytoplasm	Non-secretome
D2hgdh	535	Other	Mitochondrion	Non-secretome
Nhlh1	133	Nucleus	Nucleus	Non-secretome
Rbm24	236	Nucleus	Nucleus	Non-secretome
Wdsub1	474	Nucleoli	Nucleoli	Non-secretome
Phf13	296	Nucleus	Nucleus	Non-secretome
Mvk	395	Cytosol	Cytoplasm	Non-secretome
Ipo11	975	Cytosol	Cytoplasm	Non-secretome
Sbk1	417	Cytosol	Cytoplasm	Non-secretome
Tnn	1560	Secreted	Secreted	Non-secretome
Tm6sf1	370	Lysosome	Lysosome membrane	Non-secretome
Cfap300	267	Cytosol	Cytoplasm	Non-secretome
Rtl9	1339	Unknown	Unknown	Non-secretome
Tnfrsf1a	454	Plasma membrane	Cell membrane	Non-secretome
Pop4	221	Nucleus	Nucleus	Non-secretome
Slc30a5	761	Golgi	Golgi apparatus	Non-secretome
Tamm41	337	Other	Mitochondrion inner membrane	Non-secretome
Vmn1r49	310	Plasma membrane	Cell membrane	Non-secretome
Megf11	1091	Plasma membrane	Cell membrane	Non-secretome
Cul3	768	Nucleus	Nucleus	Non-secretome
Rac3	192	Cytosol	Cytoplasm	Non-secretome
Thnsl2	483	Secreted	Secreted	Non-secretome
Slc12a7	1083	Plasma membrane	Cell membrane	Non-secretome
Lctl	566	ER	Endoplasmic reticulum membrane	Non-secretome
Slc45a3	553	Unknown	Membrane	Non-secretome
Cbx8	362	Nucleus	Nucleus	Non-secretome
Prl6a1	230	Secreted	Secreted	Non-secretome
Nop53	484	Nucleus	Nucleus	Non-secretome
Ccdc175	822	Nucleoplasm	Nucleoplasm	Non-secretome
P4ha1	534	ER	Endoplasmic reticulum lumen	Non-secretome
Csprs	208	Unknown	Unknown	Non-secretome
Il33	266	Nucleus	Nucleus	Non-secretome
C5	1680	Secreted plasma	Secreted	Blood
Phgr1	91	Vesicles	Vesicles	Non-secretome
Cln3	438	Lysosome	Lysosome membrane	Non-secretome
Cd209b	325	Unknown	Membrane	Non-secretome
Lurap1l	221	Nucleoli	Nucleoli	Non-secretome
C1ql1	258	Secreted	Secreted	Non-secretome
Mrps35	320	Other	Mitochondrion	Non-secretome
Mbd1	636	Other	Nucleus Nucleus matrix Nucleus speckle Chromosome	Non-secretome
Rala	206	Plasma membrane	Cell membrane	Non-secretome
Ptprf	1898	Unknown	Membrane	Non-secretome
Sltm	1031	Nucleus	Nucleus	Non-secretome
Psrc1	329	Cytosol	Cytoplasm	Non-secretome
Wasl	501	Cytosol	Cytoplasm	Non-secretome
Snrpn	240	Nucleus	Nucleus	Non-secretome
Otog	2911	Plasma membrane	Apical cell membrane	Non-secretome
Ptafr	341	Plasma membrane	Cell membrane	Non-secretome
Zfp26	861	Nucleus	Nucleus	Non-secretome
Magt1	335	Plasma membrane	Cell membrane	Non-secretome
Pds5a	1332	Nucleus	Nucleus	Non-secretome
Pex1	1284	Cytosol	Cytoplasm	Non-secretome
Nubpl	319	Other	Mitochondrion	Non-secretome
Ccdc32	179	Nuclear speckles	Nuclear speckles	Non-secretome
Mis12	206	Chromatin	Chromosome	Non-secretome
Lcn9	178	Secreted	Secreted	Non-secretome
Svip	77	Other	Smooth endoplasmic reticulum membrane	Non-secretome
Rps3	243	Cytosol	Cytoplasm	Non-secretome
Fastk	511	Other	Mitochondrion matrix	Non-secretome
Gjb2	226	Plasma membrane	Cell membrane	Non-secretome
Ccr1l1	356	Plasma membrane	Cell membrane	Non-secretome
Cetn3	167	Cytosol	Cytoplasm	Non-secretome
Bbs1	593	Unknown	Cell projection	Non-secretome
Fam193b	892	Cytosol	Cytoplasm	Non-secretome
Spats2l	558	Cytosol	Cytoplasm	Non-secretome
Nectin1	515	Plasma membrane	Cell membrane	Non-secretome
Impact	318	Cytosol	Cytoplasm	Non-secretome
Cda	146	Nucleoplasm	Nucleoplasm	Non-secretome
Pth2	100	Secreted	Secreted	Non-secretome
Spata16	571	Other	Golgi apparatus Cytoplasmic vesicle	Non-secretome
Heatr3	679	Nucleoplasm	Nucleoplasm	Non-secretome
Ptpn12	775	Cytosol	Cytoplasm	Non-secretome
Aip	330	Cytosol	Cytoplasm	Non-secretome
Dhrs9	319	Unknown	Microsome membrane	Non-secretome
Irf2bp2	570	Cytosol	Cytoplasm	Non-secretome
Upk1b	260	Unknown	Membrane	Non-secretome
Csn3	181	Secreted	Secreted	Non-secretome
Card19	183	ER	Endoplasmic reticulum membrane	Non-secretome
Smc2	1191	Nucleus	Nucleus	Non-secretome
Nwd2	1742	Unknown	Unknown	Non-secretome
Syncrip	623	Nucleus	Nucleus	Non-secretome
Tbc1d13	400	Unknown	Membrane	Non-secretome
Robo1	1612	Plasma membrane	Cell membrane	Non-secretome
Acss3	682	Other	Mitochondrion matrix	Non-secretome
Gfer	198	Other	Mitochondrion intermembrane space	Non-secretome
Spata18	537	Cytosol	Cytoplasm	Non-secretome
Il3	166	Secreted	Secreted	Non-secretome
Tldc2	198	Unknown	Unknown	Non-secretome
Pcdh12	1180	Plasma membrane	Cell membrane	Non-secretome
Six3	333	Nucleus	Nucleus	Non-secretome
Tbx1	479	Nucleus	Nucleus	Non-secretome
Malt1	832	Cytosol	Cytoplasm	Non-secretome
Plcl1	1096	Cytosol	Cytoplasm	Non-secretome
Slc66a1	293	Lysosome	Lysosome membrane	Non-secretome
Akap1	857	Other	Mitochondrion outer membrane	Non-secretome
Mal	153	Golgi	Golgi apparatus membrane	Non-secretome
Znf12	686	Nucleus	Nucleus	Non-secretome
Nkd2	461	Plasma membrane	Cell membrane	Non-secretome
Cyp2w1	493	ER	Endoplasmic reticulum lumen	Non-secretome
Meltf	738	Plasma membrane	Cell membrane	Non-secretome
Trim25	634	Cytosol	Cytoplasm	Non-secretome
Itgb8	767	Plasma membrane	Cell membrane	Non-secretome
EXOC1L	172	Unknown	Unknown	Non-secretome
Btrc	605	Cytosol	Cytoplasm	Non-secretome
Rnf40	1001	Nucleus	Nucleus	Non-secretome
Sik2	931	Cytosol	Cytoplasm	Non-secretome
Polr3d	398	Nucleus	Nucleus	Non-secretome
Pnkp	522	Nucleus	Nucleus	Non-secretome
Cldn9	217	Plasma membrane	Cell junction	Non-secretome
Mdm4	489	Nucleus	Nucleus	Non-secretome
Ctxn1	82	Unknown	Membrane	Non-secretome
Ang4	144	Cytosol	Cytoplasmic vesicle	Non-secretome
Ammecr1	344	Nucleus	Nucleus	Non-secretome
Grb2	217	Nucleus	Nucleus	Non-secretome
Dnajc14	703	ER	Endoplasmic reticulum membrane	Non-secretome
Raf1	648	Cytosol	Cytoplasm	Non-secretome
Fus	518	Nucleus	Nucleus	Non-secretome
Klhl35	574	Nucleoplasm	Nucleoplasm	Non-secretome
Plekha6	1173	Plasma membrane	Cell junctions	Non-secretome
Gpank1	372	ER	Endoplasmic reticulum	Non-secretome
Cxcl10	98	Secreted	Secreted	Non-secretome
Rbbp6	1790	Nucleus	Nucleus	Non-secretome
Ywhaq	245	Cytosol	Cytoplasm	Non-secretome
Wdr43	677	Nucleus	Nucleus	Non-secretome
Dars1	501	Cytosol	Cytoplasm	Non-secretome
Artn	224	Secreted	Secreted	Non-secretome
Dazap1	406	Other	Cytoplasm Nucleus	Non-secretome
Crtam	393	Plasma membrane	Cell membrane	Non-secretome
Tfap2c	449	Nucleus	Nucleus	Non-secretome
Qtrt2	415	Cytosol	Cytoplasm	Non-secretome
Hmgn1	96	Other	Nucleus Cytoplasm	Non-secretome
Acsbg1	721	Cytosol	Cytoplasm	Non-secretome
Hspa1a	641	Cytosol	Cytoplasm	Non-secretome
Urm1	101	Cytosol	Cytoplasm	Non-secretome
L1cam	1260	Plasma membrane	Cell membrane	Non-secretome
Pik3r1	724	Cytosol	Cytosol	Non-secretome
Kdr	1345	Plasma membrane	Cell junction	Non-secretome
Api5	504	Nucleus	Nucleus	Non-secretome
Dmbt1	2085	Other	Secreted Cytoplasmic vesicle	Non-secretome
Hbs1l	682	Nuclear bodies	Nuclear bodies	Non-secretome
Neto2	525	Plasma membrane	Cell membrane	Non-secretome
Ltb	306	Unknown	Membrane	Non-secretome
Tbx6	436	Nucleus	Nucleus	Non-secretome
Pbld2	288	Unknown	Unknown	Non-secretome
Slc5a1	665	Unknown	Membrane	Non-secretome
Itprid2	1252	Cytosol	Cytoplasm	Non-secretome
Fcrlb	427	Cytosol	Cytoplasm	Non-secretome
A4gnt	341	Golgi	Golgi apparatus membrane	Non-secretome
Rab37	223	Cytosol	Cytoplasmic vesicle	Non-secretome
Ly6k	154	Secreted	Secreted	Non-secretome
Lcn10	182	Secreted	Secreted	Non-secretome
Srsf10	262	Nucleus	Nucleus speckle	Non-secretome
Ank1	1862	Cytosol	Cytoplasm	Non-secretome
Prune2	3084	Cytosol	Cytoplasm	Non-secretome
Lipk	398	Secreted	Secreted	Non-secretome
Rpl36a	106	Cytosol	Cytoplasm	Non-secretome
Fgd3	733	Cytosol	Cytoplasm	Non-secretome
Ptprs	1907	Plasma membrane	Cell membrane	Non-secretome
Tanc1	1856	Plasma membrane	Cell junction	Non-secretome
Rnaseh2a	301	Nucleus	Nucleus	Non-secretome
Homez	542	Nucleus	Nucleus	Non-secretome
Atp5mc2	146	Other	Mitochondrion membrane	Non-secretome
Dnali1	258	Unknown	Cell projection	Non-secretome
Ecel1	775	Unknown	Membrane	Non-secretome
Tulp3	460	Other	Nucleus Cell membrane Cell projection	Non-secretome
Hoxb13	286	Nucleus	Nucleus	Non-secretome
Spata6	488	Secreted	Secreted	Non-secretome
Hmx2	273	Nucleus	Nucleus	Non-secretome
Elovl4	312	ER	Endoplasmic reticulum membrane	Non-secretome
Rnase11	192	Secreted	Secreted	Non-secretome
Trappc4	219	Plasma membrane	Cell junction	Non-secretome
Polr2k	58	Nucleus	Nucleus	Non-secretome
Slc25a32	316	Other	Mitochondrion inner membrane	Non-secretome
Cyb5d1	228	Nucleoli	Nucleoli	Non-secretome
Svep1	3567	Secreted	Secreted	Non-secretome
Rbm8a	174	Nucleus	Nucleus	Non-secretome
Gkap1	366	Golgi	Golgi apparatus	Non-secretome
Rgs1	209	Plasma membrane	Cell membrane	Non-secretome
Mcat	381	Other	Mitochondrion	Non-secretome
Serping1	504	Secreted	Secreted	Non-secretome
Ccdc85b	202	Nucleus	Nucleus	Non-secretome
Gm7168	508	Unknown	Unknown	Non-secretome
Ccl7	97	Secreted	Secreted	Non-secretome
Rhd	418	Plasma membrane	Cell membrane	Non-secretome
Tmem87b	555	Golgi	Golgi apparatus membrane	Non-secretome
Gprasp2	826	Cytosol	Cytosol	Non-secretome
Lin7c	197	Plasma membrane	Cell membrane	Non-secretome
Chid1	393	Other	Secreted Lysosome	Non-secretome
Prpf38a	312	Nucleus	Nucleus	Non-secretome
Kprp	657	Cytosol	Cytoplasm	Non-secretome
Cfap52	620	Cytosol	Cytoplasm	Non-secretome
Polrmt	1207	Other	Mitochondrion	Non-secretome
Enpep	945	Plasma membrane	Cell membrane	Non-secretome
L2hgdh	464	Other	Mitochondrion	Non-secretome
Amy1	511	Secreted	Secreted	Non-secretome
Ift22	185	Unknown	Cell projection	Non-secretome
Gpt	496	Cytosol	Cytoplasm	Non-secretome
Ppard	440	Nucleus	Nucleus	Non-secretome
Etfrf1	86	Other	Mitochondrion	Non-secretome
Comtd1	262	Unknown	Membrane	Non-secretome
Itgav	1044	Plasma membrane	Cell membrane	Non-secretome
Snap25	206	Cytosol	Cytoplasm	Non-secretome
Rgs3	966	Cytosol	Cytoplasm	Non-secretome
Naaladl1	745	Plasma membrane	Apical cell membrane	Non-secretome
Ddrgk1	315	ER	Endoplasmic reticulum	Non-secretome
Shroom3	1986	Plasma membrane	Cell junction	Non-secretome
Kdm4d	510	Nucleus	Nucleus	Non-secretome
C1qc	246	Secreted	Secreted	Non-secretome
Slc39a11	342	Plasma membrane	Cell membrane	Non-secretome
Tas2r119	335	Unknown	Membrane	Non-secretome
Hp1bp3	554	Nucleus	Nucleus	Non-secretome
Sumo1	101	Nucleus	Nucleus membrane	Non-secretome
Rnf6	667	Other	Nucleus Cytoplasm Cell projection	Non-secretome
Mtif2	727	Other	Mitochondrion	Non-secretome
Cst3	140	Secreted	Secreted	Non-secretome
Ism1	454	Secreted	Secreted	Non-secretome
Sike1	207	Cytosol	Cytoplasm	Non-secretome
Glb1l3	649	Unknown	Unknown	Non-secretome
Znf207	495	Nucleus	Nucleus	Non-secretome
Rbm15	962	Nucleus	Nucleus speckle	Non-secretome
Rnf181	165	Nucleoplasm	Nucleoplasm	Non-secretome
Ceacam2	520	Plasma membrane	Cell membrane	Non-secretome
Abcg3	650	Unknown	Membrane	Non-secretome
Nek2	443	Nucleus	Nucleus	Non-secretome
Sfpq	699	Nucleus	Nucleus speckle	Non-secretome
Dlg5	1921	Plasma membrane	Cell junction	Non-secretome
Muc19	7524	Secreted	Secreted	Non-secretome
Acaa1b	424	Peroxisome	Peroxisome	Non-secretome
Gxylt2	444	Unknown	Membrane	Non-secretome
Mdga2	949	Plasma membrane	Cell membrane	Non-secretome
Plod3	741	Unknown	Rough endoplasmic reticulum	Non-secretome
Arf1	181	Other	Golgi apparatus Cytoplasm	Non-secretome
Oplah	1288	Nucleoli	Nucleoli fibrillar center	Non-secretome
Serhl	311	Cytosol	Cytoplasm	Non-secretome
Tmem9	183	Lysosome	Lysosome membrane	Non-secretome
Polk	852	Nucleus	Nucleus	Non-secretome
Lcorl	600	Nucleus	Nucleus	Non-secretome
Cavin1	392	Unknown	Membrane	Non-secretome
Arr3	381	Unknown	Photoreceptor inner segment	Non-secretome
Tigd5	642	Nucleus	Nucleus	Non-secretome
Dnmt1	1620	Nucleus	Nucleus	Non-secretome
Rab23	237	Plasma membrane	Cell membrane	Non-secretome
Kcnk18	394	Plasma membrane	Cell membrane	Non-secretome
Arpc5	151	Cytosol	Cytoplasm	Non-secretome
Gabra3	492	Plasma membrane	Cell junction	Non-secretome
Relch	1216	Unknown	Recycling endosome	Non-secretome
Slbp	275	Cytosol	Cytoplasm	Non-secretome
Tram1	374	ER	Endoplasmic reticulum membrane	Non-secretome
Gnat2	354	Unknown	Cell projection	Non-secretome
Casp1	402	Cytosol	Cytoplasm	Non-secretome
Ebf1	591	Nucleus	Nucleus	Non-secretome
Chmp3	224	Cytosol	Cytoplasm	Non-secretome
Hamp	83	Secreted	Secreted	Non-secretome
Narf	462	Nucleus	Nucleus	Non-secretome
Krtap5-5	241	Unknown	Unknown	Non-secretome
Tspan17	270	Unknown	Membrane	Non-secretome
Nsun6	476	Cytosol	Cytoplasm	Non-secretome
Rab1b	201	Cytosol	Cytoplasm	Non-secretome
Cby3	235	Nucleoplasm	Nucleoplasm	Non-secretome
Col8a1	744	Secreted	Secreted	Non-secretome
Pbsn	174	Secreted	Secreted	Non-secretome
Cacna2d4	1116	Unknown	Membrane	Non-secretome
Gstm7	218	Cytosol	Cytoplasm	Non-secretome
Mcfd2	145	Other	Endoplasmic reticulum-Golgi intermediate compartment	Non-secretome
Fbxl21	434	Cytosol	Cytoplasm	Non-secretome
Ngrn	293	Nucleus	Nucleus	Non-secretome
D17h6s53e	293	Unknown	Unknown	Non-secretome
Alox8	677	Cytosol	Cytoplasm	Non-secretome
Nupr2	102	Nucleus	Nucleus	Non-secretome
Fzd5	585	Plasma membrane	Cell membrane	Non-secretome
Tmem207	143	Unknown	Membrane	Non-secretome
Ccdc78	437	Cytosol	Cytoplasm	Non-secretome
Krt24	512	Cytoskeleton if	Intermediate filaments	Non-secretome
Cyp2b10	500	ER	Endoplasmic reticulum membrane	Non-secretome
Defb38	63	Secreted	Secreted	Non-secretome
Edc4	1406	Cytosol	Cytoplasm	Non-secretome
Mall	154	Unknown	Membrane	Non-secretome
Trappc11	1133	Golgi	Golgi apparatus	Non-secretome
Ido1	407	Cytosol	Cytoplasm	Non-secretome
Tbcd	1196	Plasma membrane	Cell junction	Non-secretome
Rptn	1118	Secreted	Secreted	Non-secretome
Rrp7a	280	Unknown	Nucleus	Non-secretome
Fbxl14	400	Cytosol	Cytoplasm	Non-secretome
Amd2	334	Unknown	Unknown	Non-secretome
Dmrtb1	359	Nucleus	Nucleus	Non-secretome
Btf3l4	158	Nucleoplasm	Nucleoplasm	Non-secretome
Fbxl20	436	Cytosol	Cytoplasm	Non-secretome
Scoc	125	Golgi	Golgi apparatus membrane	Non-secretome
Dhx29	1365	Cytosol	Cytoplasm	Non-secretome
Pfn2	140	Cytosol	Cytoplasm	Non-secretome
Ttf2	1138	Cytosol	Cytoplasm	Non-secretome
Oas1c	362	Unknown	Unknown	Non-secretome
Nr2f1	422	Nucleus	Nucleus	Non-secretome
Gstcd	634	Cytosol	Cytoplasm	Non-secretome
Il27	234	Secreted	Secreted	Non-secretome
Psme3ip1	254	Nucleus	Nucleus	Non-secretome
Chd7	2986	Nucleus	Nucleus	Non-secretome
Pacsin2	486	Other	Cytoplasm Cytoplasm	Non-secretome
Slc35b3	369	Golgi	Golgi apparatus membrane	Non-secretome
Aig1	238	Plasma membrane	Cell membrane	Non-secretome
Ctdsp2	270	Nucleus	Nucleus	Non-secretome
Plg	812	Secreted	Secreted	Non-secretome
Ugt1a1	535	ER	Endoplasmic reticulum membrane	Non-secretome
Rbm14	669	Nucleus	Nucleus	Non-secretome
Lias	373	Other	Mitochondrion	Non-secretome
Afm	608	Secreted	Secreted	Non-secretome
Ccng1	294	Nucleus	Nucleus	Non-secretome
Pipox	390	Peroxisome	Peroxisome	Non-secretome
Gabra6	453	Plasma membrane	Cell junction	Non-secretome
Lrrc74b	391	Unknown	Unknown	Non-secretome
Ppp1cb	327	Cytosol	Cytoplasm	Non-secretome
Tcf3	651	Nucleus	Nucleus	Non-secretome
Grin2c	1239	Plasma membrane	Cell membrane	Non-secretome
Cct7	544	Cytosol	Cytoplasm	Non-secretome
Ang3	145	Cytosol	Cytoplasmic vesicle	Non-secretome
Col20a1	1320	Secreted	Secreted	Non-secretome
Neurod4	330	Nucleus	Nucleus	Non-secretome
Rps24	133	Cytosol	Cytoplasm	Non-secretome
Sox15	231	Nucleus	Nucleus	Non-secretome
Clec5a	190	Plasma membrane	Cell membrane	Non-secretome
Pak2	524	Cytosol	Cytoplasm	Non-secretome
Sostdc1	206	Secreted	Secreted	Non-secretome
Fjx1	450	Secreted	Secreted	Non-secretome
Ddx25	484	Other	Cytoplasm Nucleus	Non-secretome
Mocs2	189	Cytosol	Cytoplasm	Non-secretome
Crx	299	Nucleus	Nucleus	Non-secretome
Alpk2	2144	Plasma membrane	Basolateral cell membrane	Non-secretome
Smim11a	55	Unknown	Membrane	Non-secretome
Pigu	434	ER	Endoplasmic reticulum membrane	Non-secretome
Clcnka	687	Unknown	Membrane	Non-secretome
Cnfn	111	Cytosol	Cytoplasm	Non-secretome
Usf2	346	Nucleus	Nucleus	Non-secretome
Rab5c	216	Plasma membrane	Cell membrane	Non-secretome
Pdxp	292	Cytosol	Cytoplasm	Non-secretome
Tomm34	309	Cytosol	Cytoplasm	Non-secretome
Galnt14	550	Golgi	Golgi apparatus membrane	Non-secretome
Olfr508	310	Plasma membrane	Cell membrane	Non-secretome
Ss18	418	Nucleus	Nucleus	Non-secretome
Trabd	376	Mitochondria	Mitochondria	Non-secretome
Clrn3	226	Unknown	Membrane	Non-secretome
Pak5	719	Other	Mitochondrion	Non-secretome
Enc1	589	Nucleus	Nucleus matrix	Non-secretome
Egr1	533	Nucleus	Nucleus	Non-secretome
Psme1	249	Unknown	Cytosol	Non-secretome
Serpinb13	389	Cytosol	Cytoplasm	Non-secretome
Ccdc17	565	Unknown	Unknown	Non-secretome
St3gal1	337	Golgi	Golgi apparatus	Non-secretome
Casp14	257	Cytosol	Cytoplasm	Non-secretome
Adtrp	230	Plasma membrane	Cell membrane	Non-secretome
Il15	162	Secreted	Secreted	Non-secretome
Rpl22l1	122	Cytosol	Cytoplasm	Non-secretome
Ndufb6	128	Other	Mitochondrion inner membrane	Non-secretome
Map7d3	876	Cytosol	Cytoplasm	Non-secretome
